date,weekday,marketingcost
170724,월,"₩179,346"
170725,화,"₩194,479"
170726,수,"₩312,108"
170727,목,"₩188,236"
170728,금,"₩131,444"
170729,토,"₩91,915"
170730,일,"₩100,593"
170731,월,"₩131,218"
170801,화,"₩85,840"
170802,수,"₩188,507"
170803,목,"₩57,075"
170804,금,"₩58,377"
170805,토,"₩93,550"
170806,일,"₩159,383"
170807,월,"₩297,855"
170808,화,"₩437,186"
170809,수,"₩178,407"
170810,목,"₩44,756"
170811,금,₩0
170812,토,₩0
170813,일,₩0
170814,월,₩0
170815,화,₩0
170816,수,₩0
170817,목,₩0
170818,금,₩0
170819,토,₩0
170820,일,₩0
170821,월,₩0
170822,화,₩0
170823,수,₩0
170824,목,₩0
170825,금,₩0
170826,토,₩0
170827,일,₩0
170828,월,"₩202,636"
170829,화,"₩524,291"
170830,수,"₩209,393"
170831,목,"₩278,470"
170901,금,"₩260,934"
170902,토,"₩166,240"
170903,일,"₩53,496"
170904,월,"₩59,256"
170905,화,"₩64,332"
170906,수,"₩100,769"
170907,목,"₩124,500"
170908,금,"₩148,081"
170909,토,"₩153,273"
170910,일,"₩225,693"
170911,월,"₩298,209"
170912,화,"₩221,503"
170913,수,"₩239,638"
170914,목,"₩245,460"
170915,금,"₩312,921"
170916,토,"₩363,944"
170917,일,"₩407,262"
170918,월,"₩405,175"
170919,화,"₩447,457"
170920,수,"₩486,265"
170921,목,"₩458,659"
170922,금,"₩586,048"
170923,토,"₩558,850"
170924,일,"₩439,556"
170925,월,"₩439,116"
170926,화,"₩458,834"
170927,수,"₩576,441"
170928,목,"₩529,497"
170929,금,"₩554,574"
170930,토,"₩386,954"
171001,일,"₩283,636"
171002,월,"₩781,646"
171003,화,"₩726,632"
171004,수,"₩545,586"
171005,목,"₩598,977"
171006,금,"₩592,360"
171007,토,"₩534,677"
171008,일,"₩431,384"
171009,월,"₩647,566"
171010,화,"₩350,941"
171011,수,"₩99,022"
171012,목,"₩264,587"
171013,금,"₩571,803"
171014,토,"₩615,042"
171015,일,"₩117,326"
171016,월,"₩319,802"
171017,화,"₩99,539"
171018,수,"₩262,466"
171019,목,"₩106,667"
171020,금,"₩77,649"
171021,토,"₩106,205"
171022,일,"₩96,173"
171023,월,"₩162,910"
171024,화,"₩244,244"
171025,수,"₩113,927"
171026,목,"₩150,425"
171027,금,"₩102,817"
171028,토,"₩94,875"
171029,일,"₩105,215"
171030,월,"₩87,516"
